DENSITY,POP,NAME,STATE
63.422797317,2976149,Mississippi,28
89.277578164,6137428,Missouri,29
7.3431452165,1068778,Montana,30
25.18219543,1934408,Nebraska,31
28.037006365,3080156,Nevada,32
151.8653269,1359711,New Hampshire,33
1207.6722171,8882190,New Jersey,34
17.284562099,2096829,New Mexico,35
412.81842864,19453561,New York,36
215.71420423,10488084,North Carolina,37
11.045213462,762062,North Dakota,38
286.08552119,11689100,Ohio,39
57.685202577,3956971,Oklahoma,40
43.940251292,4217737,Oregon,41
286.13105806,12801989,Pennsylvania,42
1024.6267288,1059361,Rhode Island,44
171.26007636,5148714,South Carolina,45
11.669470806,884659,South Dakota,46
165.60404231,6829174,Tennessee,47
110.9834667,28995881,Texas,48
67.693332663,623989,Vermont,50
38.918176132,3205958,Utah,49
216.18675868,8535519,Virginia,51
114.58700852,7614893,Washington,53
74.545048061,1792147,West Virginia,54
107.48955424,5822434,Wisconsin,55
5.9611363253,578759,Wyoming,56
,3193694,Puerto Rico,72
96.811652435,4903185,Alabama,01
1.281126592,731545,Alaska,02
64.043251752,7278717,Arizona,04
57.992836305,3017804,Arkansas,05
253.52068818,39512223,California,06
55.566142837,5758736,Colorado,08
499.74775877,973764,Delaware,10
11543.999939,705749,District of Columbia,11
736.22104642,3565287,Connecticut,09
400.34642766,21477737,Florida,12
183.95873142,10617423,Georgia,13
21.623354888,1787065,Idaho,16
220.45750094,1415872,Hawaii,15
228.26467808,12671821,Illinois,17
187.91203111,6732219,Indiana,18
56.48808963,3155070,Iowa,19
35.633173473,2913314,Kansas,20
113.13031412,4467673,Kentucky,21
107.59979292,4648794,Louisiana,22
43.579859409,1344212,Maine,23
622.55125026,6045680,Maryland,24
883.54570363,6892503,Massachusetts,25
176.4277398,9986857,Michigan,26
70.826623512,5639632,Minnesota,27
